name,telecode,latitude,longitude,centrality_score,province,city,railway_bureau,station_type
一间堡,,43.999743,125.352555,50,吉林,长春,沈阳铁路局,客运站
一面坡,,45.060231,128.073695,60,黑龙江,哈尔滨,哈尔滨铁路局,客运站
一面山,,40.347124,124.091609,50,辽宁,丹东,沈阳铁路局,客运站
七台河,,45.809457,130.894806,70,黑龙江,七台河,哈尔滨铁路局,客运站
七里河,,41.337409,121.251344,50,辽宁,锦州,沈阳铁路局,客运站
万乐,,45.882929,126.458569,50,黑龙江,哈尔滨,哈尔滨铁路局,客运站
万发屯,,46.542687,127.121214,50,黑龙江,哈尔滨,哈尔滨铁路局,客运站
万宁,,18.809312,110.376885,50,海南,万宁,广铁集团,客运站
万州,,30.757227,108.395238,55,重庆,万州区,成都铁路局,客运站
万年,,28.688356,117.07456,50,江西,上饶,南昌铁路局,客运站
万源,,32.085544,108.037254,60,四川,达州,西安铁路局,客运站
三义井,,42.698688,120.245407,50,内蒙古自治区,赤峰,沈阳铁路局,客运站
三亚,,18.298039,109.488728,100,海南,三亚,广铁集团,客运站
三十家,,41.012323,119.048637,50,辽宁,朝阳,沈阳铁路局,客运站
三十里堡,,39.265116,121.792701,50,辽宁,大连,沈阳铁路局,客运站
三原,,34.606743,108.942954,50,陕西,咸阳,西安铁路局,客运站
三台,,41.946578,123.149112,50,辽宁,沈阳,沈阳铁路局,客运站
三堂集,,33.338863,115.815899,50,安徽,阜阳,上海铁路局,客运站
三家寨,,26.096845,104.666805,50,贵州,六盘水,昆明铁路局,客运站
三家店,,39.948791,116.114195,50,北京,门头沟区,北京铁路局,客运站
三明,,26.243634,117.602622,55,福建,三明,南昌铁路局,客运站
三明北,,26.379135,117.801796,60,福建,三明,南昌铁路局,客运站
三水,,23.161973,112.882764,50,广东,佛山,广铁集团,客运站
三汇镇,,31.017132,107.169935,50,四川,达州,成都铁路局,客运站
三江县,,25.729404,109.572054,50,广西壮族自治区,柳州,南宁铁路局,客运站
三江口,,43.36851,123.714353,50,辽宁,铁岭,沈阳铁路局,客运站
三河县,,39.977535,117.0923,50,河北,廊坊,北京铁路局,客运站
三源浦,,42.053438,125.753872,50,吉林,通化,沈阳铁路局,客运站
三门县,,29.058074,121.35887,55,浙江,台州,上海铁路局,客运站
三门峡,,34.76158,111.227189,50,河南,三门峡,郑州铁路局,客运站
三门峡南,,34.749567,111.154273,50,河南,三门峡,郑州铁路局,客运站
三门峡西,,34.694404,111.081256,50,河南,三门峡,郑州铁路局,客运站
三间房,,47.096366,123.837114,65,黑龙江,齐齐哈尔,哈尔滨铁路局,客运站
上园,,41.611484,120.975296,50,辽宁,朝阳,沈阳铁路局,客运站
上杭,,25.185493,116.733236,50,福建,龙岩,南昌铁路局,客运站
上板城,,40.836588,118.05145,50,河北,承德,北京铁路局,客运站
上板城南,,40.823562,118.040886,50,河北,承德,北京铁路局,客运站
上海,,31.25155,121.451047,100,上海,闸北区,上海铁路局,客运站
上海南,,31.154984,121.424846,100,上海,徐汇区,上海铁路局,客运站
上海虹桥,,31.196139,121.316046,100,上海,闵行区,上海铁路局,客运站
上海西,,31.263973,121.398723,50,上海,普陀区,上海铁路局,客运站
上虞,,30.004007,120.85267,50,浙江,绍兴,上海铁路局,客运站
上虞北,,30.055756,120.84883,50,浙江,绍兴,上海铁路局,客运站
上饶,,28.49349,118.002529,80,江西,上饶,南昌铁路局,客运站
下台子,,40.60168,117.734715,50,河北,承德,北京铁路局,客运站
下城子,,44.66941,130.439235,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
下板城,,40.772557,118.170308,50,河北,承德,北京铁路局,客运站
下社,,39.148846,113.171384,50,山西,忻州,太原铁路局,客运站
下花园,,40.485418,115.273652,50,河北,张家口,北京铁路局,客运站
下马塘,,41.029863,123.73001,50,辽宁,本溪,沈阳铁路局,客运站
东丰,,42.652311,125.538465,50,吉林,辽源,沈阳铁路局,客运站
东乡,,28.231544,116.621386,50,江西,抚州,南昌铁路局,客运站
东二道河,,47.684191,134.114654,50,黑龙江,佳木斯,哈尔滨铁路局,客运站
东京城,,44.115903,129.218092,90,黑龙江,牡丹江,哈尔滨铁路局,客运站
东光,,37.898144,116.531533,50,河北,沧州,北京铁路局,客运站
东升,,22.60757,113.279088,50,广东,中山,广铁集团,客运站
东台,,32.875992,120.339279,50,江苏,盐城,上海铁路局,客运站
东安东,,26.381196,111.332242,60,湖南,永州,南宁铁路局,客运站
东方红,,46.204336,133.082876,70,黑龙江,鸡西,哈尔滨铁路局,客运站
东明县,,35.268884,115.086541,50,山东,菏泽,郑州铁路局,客运站
东明村,,43.270808,121.222668,50,内蒙古自治区,通辽,沈阳铁路局,客运站
东来,,43.387704,121.636538,50,内蒙古自治区,通辽,沈阳铁路局,客运站
东津,,46.737822,127.209369,50,黑龙江,绥化,哈尔滨铁路局,客运站
东海,,45.288666,131.318721,50,黑龙江,鸡西,哈尔滨铁路局,客运站
东海县,,34.518246,118.7627,50,江苏,连云港,上海铁路局,客运站
东胜西,,39.723132,109.871695,55,内蒙古自治区,鄂尔多斯,呼和浩特铁路局,客运站
东至,,30.175106,117.023196,50,安徽,池州,上海铁路局,客运站
东莞,,23.090335,113.853979,50,广东,东莞,广铁集团,客运站
东莞东,,22.969893,114.033952,85,广东,东莞,广铁集团,客运站
东营,,37.454666,118.466466,50,山东,东营,济南铁路局,客运站
东辛庄,,40.359227,120.447915,50,辽宁,葫芦岛,沈阳铁路局,客运站
东边井,,47.414624,127.111776,50,黑龙江,绥化,哈尔滨铁路局,客运站
东通化,,41.76849,126.038313,50,吉林,通化,沈阳铁路局,客运站
